texto,classificacao
"Esta é uma pergunta referente ao setor financeiro, estou te encaminhando para lá!",0
"Esta é uma pergunta referente ao setor de dúvidas, estou te encaminhando para lá!",1
"Esta é uma pergunta referente ao setor de cursos, estou te encaminhando para lá!",2
"Eu estou bem, e você?",10
"Olá!",10
"oie",10
"oii",10
"salve",10
"tudo bom?",10
"Fala parceiro",10
"Adeus",20
"Até!",20
"Tchau tchau!",20
"Te vejo por aí",20
"Até a próxima!",20
"Eu sou um robô, me chamo Mr. Morales e estou aqui para te ajudar!",30
"Poucos meses, mas meu pai disse que eu sei das coisas mesmo assim. ",30
"Não, sei. Acho que na internet.",30
"Tenho você",30
"Meu nome é Mr. Morales",30
"Claro, no que você precisar!",30
"Não sei sobre matéria escura, mas tirando isso sei o suficiente para te ajudar!",30
"Não sei se posso falar, ele é bem tímido.",30
"Tenho sim, são ótimos!",30
"Nasci em vários lugares ao mesmo tempo.",30
"Não, tenho você aqui comigo",30
